player1_name,player1_age,player1_height,player1_ranking_points,player1_elo,winner_hand_1,winner_hand_2,player1_wins,player1_losses,player1_total_games,player1_W/total_games,player1_Wins_per_surface,player1_Losses_per_surface,player1_total_games_per_surface,player1_W/total_games_per_surface,player1_won_h2h,player2_name,player2_age,player2_height,player2_ranking_points,player2_elo,loser_hand_1,loser_hand_2,player2_wins,player2_losses,player2_total_games,player2_W/total_games,player2_Wins_per_surface,player2_Losses_per_surface,player2_total_games_per_surface,player2_W/total_games_per_surface,player2_won_h2h,games_h2h,player1_winrate,surface_1,surface_2,draw_size_1,draw_size_2,draw_size_3,draw_size_4,draw_size_5,best_of_3,round_1,round_2,round_3,round_4,round_5,round_6,round_7,outcome
Lamine Ouahab,35.1923340178,185.0,29.0,1501.3232679910668,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Nam Hoang Ly,23.014373716599998,,25.0,1517.3543479500631,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sharmal Dissanayake,23.8001368925,,,1484.3120023921813,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Adolfo Daniel Vallejo,,,,1483.8200678995706,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Stefanos Tsitsipas,21.5550992471,,4745.0,1949.7974744628195,0.0,1.0,16.0,6.0,22.0,72.72727272727273,0.0,0.0,0.0,,0,Alberto Lim,20.7912388775,,,1482.9565780511748,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ching Lam,20.4955509925,,,1500.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Kacper Zuk,21.1115674196,,136.0,1511.0890369355109,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,2.0,50.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hazem Naw,20.167008898,,,1500.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Mehluli Don Ayanda Sibanda,20.3203285421,,18.0,1468.736306793522,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Santiago Giraldo,32.2628336756,188.0,140.0,1478.4156768681148,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,Juan Ignacio Londero,26.546201231999998,,832.0,1583.5931890241236,0.0,1.0,6.0,6.0,12.0,50.0,6.0,4.0,10.0,60.0,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
John Millman,30.7159479808,183.0,1071.0,1671.06287736515,0.0,1.0,6.0,5.0,11.0,54.54545454545455,6.0,5.0,11.0,54.54545454545455,0,Thiago Seyboth Wild,19.9780971937,,507.0,1565.5008282661856,0.0,1.0,6.0,1.0,7.0,85.71428571428571,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Jurij Rodionov,20.7967145791,,307.0,1438.4134981004445,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Pablo Cuevas,34.165639972600005,180.0,857.0,1566.9196610741658,1.0,0.0,5.0,9.0,14.0,35.714285714285715,1.0,5.0,6.0,16.666666666666668,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Marton Fucsovics,28.0629705681,,692.0,1630.5818168924704,0.0,1.0,5.0,5.0,10.0,50.0,0.0,0.0,0.0,,0,Kimmer Coppejans,26.0643394935,,343.0,1449.6739901767914,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ramkumar Ramanathan,25.3141683778,,278.0,1503.3510894155215,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,Marin Cilic,31.425051334699997,198.0,1225.0,1735.0329568759962,0.0,1.0,6.0,4.0,10.0,60.0,6.0,4.0,10.0,60.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
