Wins,Losses,total_games,W/total_games,Wins_per_surface,Losses_per_surface,total_games_per_surface,W/total_games_per_surface,player_name,winner,loser,tourney name
3,1,4,75.0,3,1,4,75.0,Ricardas Berankis,Pablo Carreno Busta,Ricardas Berankis,Us Open
3,1,4,75.0,3,1,4,75.0,Denis Shapovalov,Denis Shapovalov,Taylor Fritz,Us Open
3,1,4,75.0,3,1,4,75.0,Taylor Fritz,Denis Shapovalov,Taylor Fritz,Us Open
3,1,4,75.0,3,1,4,75.0,David Goffin,David Goffin,Filip Krajinovic,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Filip Krajinovic,David Goffin,Filip Krajinovic,Us Open
3,1,4,75.0,3,1,4,75.0,Borna Coric,Borna Coric,Stefanos Tsitsipas,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Stefanos Tsitsipas,Borna Coric,Stefanos Tsitsipas,Us Open
2,0,2,100.0,2,0,2,100.0,Jordan Thompson,Jordan Thompson,Mikhail Kukushkin,Us Open
2,0,2,100.0,2,0,2,100.0,Mikhail Kukushkin,Jordan Thompson,Mikhail Kukushkin,Us Open
2,0,2,100.0,2,0,2,100.0,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,Cameron Norrie,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Cameron Norrie,Alejandro Davidovich Fokina,Cameron Norrie,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Alexander Zverev,Alexander Zverev,Adrian Mannarino,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Adrian Mannarino,Alexander Zverev,Adrian Mannarino,Us Open
3,1,4,75.0,3,1,4,75.0,Matteo Berrettini,Matteo Berrettini,Casper Ruud,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Casper Ruud,Matteo Berrettini,Casper Ruud,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Andrey Rublev,Andrey Rublev,Salvatore Caruso,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Salvatore Caruso,Andrey Rublev,Salvatore Caruso,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Frances Tiafoe,Frances Tiafoe,Marton Fucsovics,Us Open
4,1,5,80.0,4,1,5,80.0,Marton Fucsovics,Frances Tiafoe,Marton Fucsovics,Us Open
4,1,5,80.0,4,1,5,80.0,Daniil Medvedev,Daniil Medvedev,J.J. Wolf,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,J.J. Wolf,Daniil Medvedev,J.J. Wolf,Us Open
2,0,2,100.0,2,0,2,100.0,Vasek Pospisil,Vasek Pospisil,Roberto Bautista Agut,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Roberto Bautista Agut,Vasek Pospisil,Roberto Bautista Agut,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Alex De Minaur,Alex De Minaur,Karen Khachanov,Us Open
4,1,5,80.0,4,1,5,80.0,Karen Khachanov,Alex De Minaur,Karen Khachanov,Us Open
3,1,4,75.0,3,1,4,75.0,Felix Auger Aliassime,Felix Auger Aliassime,Corentin Moutet,Us Open
2,0,2,100.0,2,0,2,100.0,Corentin Moutet,Felix Auger Aliassime,Corentin Moutet,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Dominic Thiem,Dominic Thiem,Marin Cilic,Us Open
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Marin Cilic,Dominic Thiem,Marin Cilic,Us Open
4,1,5,80.0,4,1,5,80.0,Pablo Carreno Busta,Pablo Carreno Busta,Novak Djokovic,Us Open
8,0,8,100.0,8,0,8,100.0,Novak Djokovic,Pablo Carreno Busta,Novak Djokovic,Us Open
4,1,5,80.0,4,1,5,80.0,Denis Shapovalov,Denis Shapovalov,David Goffin,Us Open
4,1,5,80.0,4,1,5,80.0,David Goffin,Denis Shapovalov,David Goffin,Us Open
4,1,5,80.0,4,1,5,80.0,Borna Coric,Borna Coric,Jordan Thompson,Us Open
3,0,3,100.0,3,0,3,100.0,Jordan Thompson,Borna Coric,Jordan Thompson,Us Open
3,1,4,75.0,3,1,4,75.0,Alexander Zverev,Alexander Zverev,Alejandro Davidovich Fokina,Us Open
3,0,3,100.0,3,0,3,100.0,Alejandro Davidovich Fokina,Alexander Zverev,Alejandro Davidovich Fokina,Us Open
3,1,4,75.0,3,1,4,75.0,Andrey Rublev,Andrey Rublev,Matteo Berrettini,Us Open
4,1,5,80.0,4,1,5,80.0,Matteo Berrettini,Andrey Rublev,Matteo Berrettini,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Daniil Medvedev,Daniil Medvedev,Frances Tiafoe,Us Open
3,1,4,75.0,3,1,4,75.0,Frances Tiafoe,Daniil Medvedev,Frances Tiafoe,Us Open
3,1,4,75.0,3,1,4,75.0,Alex De Minaur,Alex De Minaur,Vasek Pospisil,Us Open
3,0,3,100.0,3,0,3,100.0,Vasek Pospisil,Alex De Minaur,Vasek Pospisil,Us Open
3,1,4,75.0,3,1,4,75.0,Dominic Thiem,Dominic Thiem,Felix Auger Aliassime,Us Open
4,1,5,80.0,4,1,5,80.0,Felix Auger Aliassime,Dominic Thiem,Felix Auger Aliassime,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Pablo Carreno Busta,Pablo Carreno Busta,Denis Shapovalov,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Denis Shapovalov,Pablo Carreno Busta,Denis Shapovalov,Us Open
4,1,5,80.0,4,1,5,80.0,Alexander Zverev,Alexander Zverev,Borna Coric,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Borna Coric,Alexander Zverev,Borna Coric,Us Open
6,1,7,85.71428571428571,6,1,7,85.71428571428571,Daniil Medvedev,Daniil Medvedev,Andrey Rublev,Us Open
4,1,5,80.0,4,1,5,80.0,Andrey Rublev,Daniil Medvedev,Andrey Rublev,Us Open
4,1,5,80.0,4,1,5,80.0,Dominic Thiem,Dominic Thiem,Alex De Minaur,Us Open
4,1,5,80.0,4,1,5,80.0,Alex De Minaur,Dominic Thiem,Alex De Minaur,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Alexander Zverev,Alexander Zverev,Pablo Carreno Busta,Us Open
6,1,7,85.71428571428571,6,1,7,85.71428571428571,Pablo Carreno Busta,Alexander Zverev,Pablo Carreno Busta,Us Open
5,1,6,83.33333333333333,5,1,6,83.33333333333333,Dominic Thiem,Dominic Thiem,Daniil Medvedev,Us Open
7,1,8,87.5,7,1,8,87.5,Daniil Medvedev,Dominic Thiem,Daniil Medvedev,Us Open
6,1,7,85.71428571428571,6,1,7,85.71428571428571,Dominic Thiem,Dominic Thiem,Alexander Zverev,Us Open
6,1,7,85.71428571428571,6,1,7,85.71428571428571,Alexander Zverev,Dominic Thiem,Alexander Zverev,Us Open
0,0,0,,0,0,0,,Sebastian Ofner,Sebastian Ofner,Radu Albot,Kitzbuhel
0,1,1,0.0,0,0,0,,Radu Albot,Sebastian Ofner,Radu Albot,Kitzbuhel
0,1,1,0.0,0,0,0,,Jannik Sinner,Jannik Sinner,Philipp Kohlschreiber,Kitzbuhel
0,1,1,0.0,0,0,0,,Philipp Kohlschreiber,Jannik Sinner,Philipp Kohlschreiber,Kitzbuhel
0,1,1,0.0,0,0,0,,Laslo Djere,Laslo Djere,Albert Ramos,Kitzbuhel
0,1,1,0.0,0,0,0,,Albert Ramos,Laslo Djere,Albert Ramos,Kitzbuhel
0,0,0,,0,0,0,,Yannick Hanfmann,Yannick Hanfmann,Alexander Bublik,Kitzbuhel
0,2,2,0.0,0,0,0,,Alexander Bublik,Yannick Hanfmann,Alexander Bublik,Kitzbuhel
0,0,0,,0,0,0,,Maximilian Marterer,Maximilian Marterer,Dennis Novak,Kitzbuhel
0,1,1,0.0,0,0,0,,Dennis Novak,Maximilian Marterer,Dennis Novak,Kitzbuhel
1,2,3,33.333333333333336,0,0,0,,Hubert Hurkacz,Hubert Hurkacz,Joao Sousa,Kitzbuhel
0,1,1,0.0,0,0,0,,Joao Sousa,Hubert Hurkacz,Joao Sousa,Kitzbuhel
1,1,2,50.0,0,0,0,,Miomir Kecmanovic,Miomir Kecmanovic,Kei Nishikori,Kitzbuhel
0,0,0,,0,0,0,,Kei Nishikori,Miomir Kecmanovic,Kei Nishikori,Kitzbuhel
3,1,4,75.0,0,0,0,,Jordan Thompson,Jordan Thompson,John Millman,Kitzbuhel
2,2,4,50.0,0,0,0,,John Millman,Jordan Thompson,John Millman,Kitzbuhel
0,1,1,0.0,0,0,0,,Federico Delbonis,Federico Delbonis,Juan Ignacio Londero,Kitzbuhel
1,1,2,50.0,0,0,0,,Juan Ignacio Londero,Federico Delbonis,Juan Ignacio Londero,Kitzbuhel
0,1,1,0.0,0,0,0,,Guido Pella,Guido Pella,Yoshihito Nishioka,Kitzbuhel
0,1,1,0.0,0,0,0,,Yoshihito Nishioka,Guido Pella,Yoshihito Nishioka,Kitzbuhel
0,1,1,0.0,0,0,0,,Feliciano Lopez,Feliciano Lopez,Pierre Hugues Herbert,Kitzbuhel
0,0,0,,0,0,0,,Pierre Hugues Herbert,Feliciano Lopez,Pierre Hugues Herbert,Kitzbuhel
0,0,0,,0,0,0,,Marc Andrea Huesler,Marc Andrea Huesler,Emil Ruusuvuori,Kitzbuhel
2,2,4,50.0,0,0,0,,Emil Ruusuvuori,Marc Andrea Huesler,Emil Ruusuvuori,Kitzbuhel
1,2,3,33.333333333333336,0,0,0,,Diego Schwartzman,Diego Schwartzman,Sebastian Ofner,Kitzbuhel
1,0,1,100.0,1,0,1,100.0,Sebastian Ofner,Diego Schwartzman,Sebastian Ofner,Kitzbuhel
1,1,2,50.0,1,0,1,100.0,Laslo Djere,Laslo Djere,Jannik Sinner,Kitzbuhel
1,1,2,50.0,1,0,1,100.0,Jannik Sinner,Laslo Djere,Jannik Sinner,Kitzbuhel
1,0,1,100.0,1,0,1,100.0,Yannick Hanfmann,Yannick Hanfmann,Dusan Lajovic,Kitzbuhel
0,2,2,0.0,0,0,0,,Dusan Lajovic,Yannick Hanfmann,Dusan Lajovic,Kitzbuhel
1,0,1,100.0,1,0,1,100.0,Maximilian Marterer,Maximilian Marterer,Hubert Hurkacz,Kitzbuhel
2,2,4,50.0,1,0,1,100.0,Hubert Hurkacz,Maximilian Marterer,Hubert Hurkacz,Kitzbuhel
2,1,3,66.66666666666667,1,0,1,100.0,Miomir Kecmanovic,Miomir Kecmanovic,Jordan Thompson,Kitzbuhel
4,1,5,80.0,1,0,1,100.0,Jordan Thompson,Miomir Kecmanovic,Jordan Thompson,Kitzbuhel
1,1,2,50.0,1,0,1,100.0,Federico Delbonis,Federico Delbonis,Nikoloz Basilashvili,Kitzbuhel
0,2,2,0.0,0,0,0,,Nikoloz Basilashvili,Federico Delbonis,Nikoloz Basilashvili,Kitzbuhel
1,1,2,50.0,1,0,1,100.0,Feliciano Lopez,Feliciano Lopez,Guido Pella,Kitzbuhel
1,1,2,50.0,1,0,1,100.0,Guido Pella,Feliciano Lopez,Guido Pella,Kitzbuhel
1,0,1,100.0,1,0,1,100.0,Marc Andrea Huesler,Marc Andrea Huesler,Fabio Fognini,Kitzbuhel
0,0,0,,0,0,0,,Fabio Fognini,Marc Andrea Huesler,Fabio Fognini,Kitzbuhel
2,1,3,66.66666666666667,2,0,2,100.0,Laslo Djere,Laslo Djere,Diego Schwartzman,Kitzbuhel
2,2,4,50.0,1,0,1,100.0,Diego Schwartzman,Laslo Djere,Diego Schwartzman,Kitzbuhel
2,0,2,100.0,2,0,2,100.0,Yannick Hanfmann,Yannick Hanfmann,Maximilian Marterer,Kitzbuhel
2,0,2,100.0,2,0,2,100.0,Maximilian Marterer,Yannick Hanfmann,Maximilian Marterer,Kitzbuhel
3,1,4,75.0,2,0,2,100.0,Miomir Kecmanovic,Miomir Kecmanovic,Federico Delbonis,Kitzbuhel
2,1,3,66.66666666666667,2,0,2,100.0,Federico Delbonis,Miomir Kecmanovic,Federico Delbonis,Kitzbuhel
2,0,2,100.0,2,0,2,100.0,Marc Andrea Huesler,Marc Andrea Huesler,Feliciano Lopez,Kitzbuhel
2,1,3,66.66666666666667,2,0,2,100.0,Feliciano Lopez,Marc Andrea Huesler,Feliciano Lopez,Kitzbuhel
3,0,3,100.0,3,0,3,100.0,Yannick Hanfmann,Yannick Hanfmann,Laslo Djere,Kitzbuhel
3,1,4,75.0,3,0,3,100.0,Laslo Djere,Yannick Hanfmann,Laslo Djere,Kitzbuhel
4,1,5,80.0,3,0,3,100.0,Miomir Kecmanovic,Miomir Kecmanovic,Marc Andrea Huesler,Kitzbuhel
3,0,3,100.0,3,0,3,100.0,Marc Andrea Huesler,Miomir Kecmanovic,Marc Andrea Huesler,Kitzbuhel
5,1,6,83.33333333333333,4,0,4,100.0,Miomir Kecmanovic,Miomir Kecmanovic,Yannick Hanfmann,Kitzbuhel
4,0,4,100.0,4,0,4,100.0,Yannick Hanfmann,Miomir Kecmanovic,Yannick Hanfmann,Kitzbuhel
0,3,3,0.0,0,1,1,0.0,Dusan Lajovic,Dusan Lajovic,Alejandro Davidovich Fokina,Rome Masters
3,1,4,75.0,0,0,0,,Alejandro Davidovich Fokina,Dusan Lajovic,Alejandro Davidovich Fokina,Rome Masters
6,2,8,75.0,0,0,0,,Milos Raonic,Milos Raonic,Adrian Mannarino,Rome Masters
2,2,4,50.0,0,0,0,,Adrian Mannarino,Milos Raonic,Adrian Mannarino,Rome Masters
4,2,6,66.66666666666667,0,0,0,,Andrey Rublev,Andrey Rublev,Facundo Bagnis,Rome Masters
0,0,0,,0,0,0,,Facundo Bagnis,Andrey Rublev,Facundo Bagnis,Rome Masters
2,3,5,40.0,1,1,2,50.0,Hubert Hurkacz,Hubert Hurkacz,Daniel Evans,Rome Masters
2,2,4,50.0,0,0,0,,Daniel Evans,Hubert Hurkacz,Daniel Evans,Rome Masters
2,3,5,40.0,0,1,1,0.0,John Millman,John Millman,Joao Sousa,Rome Masters
0,2,2,0.0,0,1,1,0.0,Joao Sousa,John Millman,Joao Sousa,Rome Masters
1,2,3,33.333333333333336,1,1,2,50.0,Jannik Sinner,Jannik Sinner,Benoit Paire,Rome Masters
0,1,1,0.0,0,0,0,,Benoit Paire,Jannik Sinner,Benoit Paire,Rome Masters
0,2,2,0.0,0,1,1,0.0,Yoshihito Nishioka,Yoshihito Nishioka,Miomir Kecmanovic,Rome Masters
6,1,7,85.71428571428571,5,0,5,100.0,Miomir Kecmanovic,Yoshihito Nishioka,Miomir Kecmanovic,Rome Masters
2,2,4,50.0,0,0,0,,Grigor Dimitrov,Grigor Dimitrov,Gianluca Mager,Rome Masters
0,1,1,0.0,0,0,0,,Gianluca Mager,Grigor Dimitrov,Gianluca Mager,Rome Masters
5,2,7,71.42857142857143,0,0,0,,Denis Shapovalov,Denis Shapovalov,Guido Pella,Rome Masters
1,2,3,33.333333333333336,1,1,2,50.0,Guido Pella,Denis Shapovalov,Guido Pella,Rome Masters
0,1,1,0.0,0,0,0,,Pedro Martinez,Pedro Martinez,Sam Querrey,Rome Masters
0,2,2,0.0,0,0,0,,Sam Querrey,Pedro Martinez,Sam Querrey,Rome Masters
1,2,3,33.333333333333336,0,0,0,,Ugo Humbert,Ugo Humbert,Kevin Anderson,Rome Masters
1,2,3,33.333333333333336,0,0,0,,Kevin Anderson,Ugo Humbert,Kevin Anderson,Rome Masters
2,2,4,50.0,0,0,0,,Marin Cilic,Marin Cilic,Alexander Bublik,Rome Masters
0,3,3,0.0,0,1,1,0.0,Alexander Bublik,Marin Cilic,Alexander Bublik,Rome Masters
0,2,2,0.0,0,0,0,,Lorenzo Sonego,Lorenzo Sonego,Nikoloz Basilashvili,Rome Masters
0,3,3,0.0,0,1,1,0.0,Nikoloz Basilashvili,Lorenzo Sonego,Nikoloz Basilashvili,Rome Masters
2,2,4,50.0,0,0,0,,Casper Ruud,Casper Ruud,Karen Khachanov,Rome Masters
4,2,6,66.66666666666667,0,0,0,,Karen Khachanov,Casper Ruud,Karen Khachanov,Rome Masters
5,2,7,71.42857142857143,0,0,0,,Borna Coric,Borna Coric,Christian Garin,Rome Masters
1,2,3,33.333333333333336,0,0,0,,Christian Garin,Borna Coric,Christian Garin,Rome Masters
0,1,1,0.0,0,0,0,,Stefano Travaglia,Stefano Travaglia,Taylor Fritz,Rome Masters
3,2,5,60.0,0,0,0,,Taylor Fritz,Stefano Travaglia,Taylor Fritz,Rome Masters
1,1,2,50.0,0,0,0,,Federico Coria,Federico Coria,Jan Lennard Struff,Rome Masters
5,2,7,71.42857142857143,0,0,0,,Jan Lennard Struff,Federico Coria,Jan Lennard Struff,Rome Masters
0,1,1,0.0,0,0,0,,Dominik Koepfer,Dominik Koepfer,Alex De Minaur,Rome Masters
4,2,6,66.66666666666667,0,0,0,,Alex De Minaur,Dominik Koepfer,Alex De Minaur,Rome Masters
0,1,1,0.0,0,1,1,0.0,Kei Nishikori,Kei Nishikori,Albert Ramos,Rome Masters
0,2,2,0.0,0,1,1,0.0,Albert Ramos,Kei Nishikori,Albert Ramos,Rome Masters
0,0,0,,0,0,0,,Lorenzo Musetti,Lorenzo Musetti,Stan Wawrinka,Rome Masters
0,0,0,,0,0,0,,Stan Wawrinka,Lorenzo Musetti,Stan Wawrinka,Rome Masters
5,2,7,71.42857142857143,0,0,0,,Filip Krajinovic,Filip Krajinovic,Felix Auger Aliassime,Rome Masters
4,2,6,66.66666666666667,0,0,0,,Felix Auger Aliassime,Filip Krajinovic,Felix Auger Aliassime,Rome Masters
0,1,1,0.0,0,0,0,,Marco Cecchinato,Marco Cecchinato,Kyle Edmund,Rome Masters
1,2,3,33.333333333333336,0,0,0,,Kyle Edmund,Marco Cecchinato,Kyle Edmund,Rome Masters
2,2,4,50.0,0,0,0,,Salvatore Caruso,Salvatore Caruso,Tennys Sandgren,Rome Masters
2,2,4,50.0,0,0,0,,Tennys Sandgren,Salvatore Caruso,Tennys Sandgren,Rome Masters
0,0,0,,0,0,0,,Rafael Nadal,Rafael Nadal,Pablo Carreno Busta,Rome Masters
6,2,8,75.0,0,0,0,,Pablo Carreno Busta,Rafael Nadal,Pablo Carreno Busta,Rome Masters
1,3,4,25.0,1,1,2,50.0,Dusan Lajovic,Dusan Lajovic,Milos Raonic,Rome Masters
7,2,9,77.77777777777777,1,0,1,100.0,Milos Raonic,Dusan Lajovic,Milos Raonic,Rome Masters
3,3,6,50.0,2,1,3,66.66666666666667,Hubert Hurkacz,Hubert Hurkacz,Andrey Rublev,Rome Masters
5,2,7,71.42857142857143,1,0,1,100.0,Andrey Rublev,Hubert Hurkacz,Andrey Rublev,Rome Masters
2,3,5,40.0,1,1,2,50.0,Diego Schwartzman,Diego Schwartzman,John Millman,Rome Masters
3,3,6,50.0,1,1,2,50.0,John Millman,Diego Schwartzman,John Millman,Rome Masters
2,2,4,50.0,2,1,3,66.66666666666667,Jannik Sinner,Jannik Sinner,Stefanos Tsitsipas,Rome Masters
5,2,7,71.42857142857143,0,0,0,,Stefanos Tsitsipas,Jannik Sinner,Stefanos Tsitsipas,Rome Masters
3,2,5,60.0,1,0,1,100.0,Grigor Dimitrov,Grigor Dimitrov,Yoshihito Nishioka,Rome Masters
1,2,3,33.333333333333336,1,1,2,50.0,Yoshihito Nishioka,Grigor Dimitrov,Yoshihito Nishioka,Rome Masters
6,2,8,75.0,1,0,1,100.0,Denis Shapovalov,Denis Shapovalov,Pedro Martinez,Rome Masters
1,1,2,50.0,1,0,1,100.0,Pedro Martinez,Denis Shapovalov,Pedro Martinez,Rome Masters
2,2,4,50.0,1,0,1,100.0,Ugo Humbert,Ugo Humbert,Fabio Fognini,Rome Masters
0,1,1,0.0,0,1,1,0.0,Fabio Fognini,Ugo Humbert,Fabio Fognini,Rome Masters
3,2,5,60.0,1,0,1,100.0,Marin Cilic,Marin Cilic,David Goffin,Rome Masters
4,2,6,66.66666666666667,0,0,0,,David Goffin,Marin Cilic,David Goffin,Rome Masters
3,2,5,60.0,1,0,1,100.0,Casper Ruud,Casper Ruud,Lorenzo Sonego,Rome Masters
1,2,3,33.333333333333336,1,0,1,100.0,Lorenzo Sonego,Casper Ruud,Lorenzo Sonego,Rome Masters
1,1,2,50.0,1,0,1,100.0,Stefano Travaglia,Stefano Travaglia,Borna Coric,Rome Masters
6,2,8,75.0,1,0,1,100.0,Borna Coric,Stefano Travaglia,Borna Coric,Rome Masters
4,2,6,66.66666666666667,0,0,0,,Matteo Berrettini,Matteo Berrettini,Federico Coria,Rome Masters
2,1,3,66.66666666666667,1,0,1,100.0,Federico Coria,Matteo Berrettini,Federico Coria,Rome Masters
1,1,2,50.0,1,0,1,100.0,Dominik Koepfer,Dominik Koepfer,Gael Monfils,Rome Masters
0,0,0,,0,0,0,,Gael Monfils,Dominik Koepfer,Gael Monfils,Rome Masters
1,0,1,100.0,1,0,1,100.0,Lorenzo Musetti,Lorenzo Musetti,Kei Nishikori,Rome Masters
1,1,2,50.0,1,1,2,50.0,Kei Nishikori,Lorenzo Musetti,Kei Nishikori,Rome Masters
6,2,8,75.0,1,0,1,100.0,Filip Krajinovic,Filip Krajinovic,Marco Cecchinato,Rome Masters
1,1,2,50.0,1,0,1,100.0,Marco Cecchinato,Filip Krajinovic,Marco Cecchinato,Rome Masters
8,1,9,88.88888888888889,0,0,0,,Novak Djokovic,Novak Djokovic,Salvatore Caruso,Rome Masters
3,2,5,60.0,1,0,1,100.0,Salvatore Caruso,Novak Djokovic,Salvatore Caruso,Rome Masters
1,0,1,100.0,1,0,1,100.0,Rafael Nadal,Rafael Nadal,Dusan Lajovic,Rome Masters
2,3,5,40.0,2,1,3,66.66666666666667,Dusan Lajovic,Rafael Nadal,Dusan Lajovic,Rome Masters
3,3,6,50.0,2,1,3,66.66666666666667,Diego Schwartzman,Diego Schwartzman,Hubert Hurkacz,Rome Masters
4,3,7,57.142857142857146,3,1,4,75.0,Hubert Hurkacz,Diego Schwartzman,Hubert Hurkacz,Rome Masters
4,2,6,66.66666666666667,2,0,2,100.0,Grigor Dimitrov,Grigor Dimitrov,Jannik Sinner,Rome Masters
3,2,5,60.0,3,1,4,75.0,Jannik Sinner,Grigor Dimitrov,Jannik Sinner,Rome Masters
7,2,9,77.77777777777777,2,0,2,100.0,Denis Shapovalov,Denis Shapovalov,Ugo Humbert,Rome Masters
3,2,5,60.0,2,0,2,100.0,Ugo Humbert,Denis Shapovalov,Ugo Humbert,Rome Masters
4,2,6,66.66666666666667,2,0,2,100.0,Casper Ruud,Casper Ruud,Marin Cilic,Rome Masters
4,2,6,66.66666666666667,2,0,2,100.0,Marin Cilic,Casper Ruud,Marin Cilic,Rome Masters
5,2,7,71.42857142857143,1,0,1,100.0,Matteo Berrettini,Matteo Berrettini,Stefano Travaglia,Rome Masters
2,1,3,66.66666666666667,2,0,2,100.0,Stefano Travaglia,Matteo Berrettini,Stefano Travaglia,Rome Masters
2,1,3,66.66666666666667,2,0,2,100.0,Dominik Koepfer,Dominik Koepfer,Lorenzo Musetti,Rome Masters
2,0,2,100.0,2,0,2,100.0,Lorenzo Musetti,Dominik Koepfer,Lorenzo Musetti,Rome Masters
9,1,10,90.0,1,0,1,100.0,Novak Djokovic,Novak Djokovic,Filip Krajinovic,Rome Masters
7,2,9,77.77777777777777,2,0,2,100.0,Filip Krajinovic,Novak Djokovic,Filip Krajinovic,Rome Masters
4,3,7,57.142857142857146,3,1,4,75.0,Diego Schwartzman,Diego Schwartzman,Rafael Nadal,Rome Masters
2,0,2,100.0,2,0,2,100.0,Rafael Nadal,Diego Schwartzman,Rafael Nadal,Rome Masters
8,2,10,80.0,3,0,3,100.0,Denis Shapovalov,Denis Shapovalov,Grigor Dimitrov,Rome Masters
5,2,7,71.42857142857143,3,0,3,100.0,Grigor Dimitrov,Denis Shapovalov,Grigor Dimitrov,Rome Masters
5,2,7,71.42857142857143,3,0,3,100.0,Casper Ruud,Casper Ruud,Matteo Berrettini,Rome Masters
6,2,8,75.0,2,0,2,100.0,Matteo Berrettini,Casper Ruud,Matteo Berrettini,Rome Masters
10,1,11,90.9090909090909,2,0,2,100.0,Novak Djokovic,Novak Djokovic,Dominik Koepfer,Rome Masters
3,1,4,75.0,3,0,3,100.0,Dominik Koepfer,Novak Djokovic,Dominik Koepfer,Rome Masters
5,3,8,62.5,4,1,5,80.0,Diego Schwartzman,Diego Schwartzman,Denis Shapovalov,Rome Masters
9,2,11,81.81818181818181,4,0,4,100.0,Denis Shapovalov,Diego Schwartzman,Denis Shapovalov,Rome Masters
11,1,12,91.66666666666667,3,0,3,100.0,Novak Djokovic,Novak Djokovic,Casper Ruud,Rome Masters
6,2,8,75.0,4,0,4,100.0,Casper Ruud,Novak Djokovic,Casper Ruud,Rome Masters
12,1,13,92.3076923076923,4,0,4,100.0,Novak Djokovic,Novak Djokovic,Diego Schwartzman,Rome Masters
6,3,9,66.66666666666667,5,1,6,83.33333333333333,Diego Schwartzman,Novak Djokovic,Diego Schwartzman,Rome Masters
5,3,8,62.5,0,1,1,0.0,Stefanos Tsitsipas,Stefanos Tsitsipas,Daniel Evans,Hamburg
2,3,5,40.0,0,1,1,0.0,Daniel Evans,Stefanos Tsitsipas,Daniel Evans,Hamburg
0,1,1,0.0,0,0,0,,Pablo Cuevas,Pablo Cuevas,Taylor Fritz,Hamburg
3,3,6,50.0,0,1,1,0.0,Taylor Fritz,Pablo Cuevas,Taylor Fritz,Hamburg
2,4,6,33.333333333333336,2,2,4,50.0,Dusan Lajovic,Dusan Lajovic,Adrian Mannarino,Hamburg
2,3,5,40.0,0,1,1,0.0,Adrian Mannarino,Dusan Lajovic,Adrian Mannarino,Hamburg
4,3,7,57.142857142857146,0,1,1,0.0,Karen Khachanov,Karen Khachanov,Jan Lennard Struff,Hamburg
5,3,8,62.5,0,1,1,0.0,Jan Lennard Struff,Karen Khachanov,Jan Lennard Struff,Hamburg
4,1,5,80.0,4,1,5,80.0,Yannick Hanfmann,Yannick Hanfmann,Gael Monfils,Hamburg
0,1,1,0.0,0,1,1,0.0,Gael Monfils,Yannick Hanfmann,Gael Monfils,Hamburg
1,3,4,25.0,0,1,1,0.0,Christian Garin,Christian Garin,Kei Nishikori,Hamburg
1,2,3,33.333333333333336,1,2,3,33.333333333333336,Kei Nishikori,Christian Garin,Kei Nishikori,Hamburg
4,3,7,57.142857142857146,0,1,1,0.0,Felix Auger Aliassime,Felix Auger Aliassime,Lorenzo Sonego,Hamburg
1,3,4,25.0,1,1,2,50.0,Lorenzo Sonego,Felix Auger Aliassime,Lorenzo Sonego,Hamburg
0,4,4,0.0,0,2,2,0.0,Alexander Bublik,Alexander Bublik,Albert Ramos,Hamburg
0,3,3,0.0,0,2,2,0.0,Albert Ramos,Alexander Bublik,Albert Ramos,Hamburg
5,3,8,62.5,1,1,2,50.0,Andrey Rublev,Andrey Rublev,Tennys Sandgren,Hamburg
2,3,5,40.0,0,1,1,0.0,Tennys Sandgren,Andrey Rublev,Tennys Sandgren,Hamburg
0,2,2,0.0,0,0,0,,Tommy Paul,Tommy Paul,Kevin Anderson,Hamburg
1,3,4,25.0,0,1,1,0.0,Kevin Anderson,Tommy Paul,Kevin Anderson,Hamburg
3,2,5,60.0,3,1,4,75.0,Dominik Koepfer,Dominik Koepfer,Yoshihito Nishioka,Hamburg
1,3,4,25.0,1,2,3,33.333333333333336,Yoshihito Nishioka,Dominik Koepfer,Yoshihito Nishioka,Hamburg
5,2,7,71.42857142857143,0,0,0,,Roberto Bautista Agut,Roberto Bautista Agut,Nikoloz Basilashvili,Hamburg
0,4,4,0.0,0,2,2,0.0,Nikoloz Basilashvili,Roberto Bautista Agut,Nikoloz Basilashvili,Hamburg
