Wins,Losses,total_games,W/total_games,Wins_per_surface,Losses_per_surface,total_games_per_surface,W/total_games_per_surface,player_name,winner,loser,tourney name
0,0,0,,0,0,0,,Nik Razborsek,Aisam Ul Haq Qureshi,Nik Razborsek,Davis Cup WG1 PO: PAK vs SLO
1,1,2,50.0,1,1,2,50.0,Juan Pablo Varillas,Juan Pablo Varillas,Sandro Ehrat,Davis Cup WG1 PO: PER vs SUI
0,0,0,,0,0,0,,Sandro Ehrat,Juan Pablo Varillas,Sandro Ehrat,Davis Cup WG1 PO: PER vs SUI
0,0,0,,0,0,0,,Daniel Cukierman,Daniel Cukierman,Cem Ilkel,Davis Cup WG1 PO: TUR vs ISR
1,1,2,50.0,0,0,0,,Cem Ilkel,Daniel Cukierman,Cem Ilkel,Davis Cup WG1 PO: TUR vs ISR
0,0,0,,0,0,0,,Chun Hsin Tseng,Chun Hsin Tseng,Sergiy Stakhovsky,Davis Cup WG1 PO: UKR vs TPE
0,1,1,0.0,0,1,1,0.0,Sergiy Stakhovsky,Chun Hsin Tseng,Sergiy Stakhovsky,Davis Cup WG1 PO: UKR vs TPE
0,0,0,,0,0,0,,Finn Tearney,Finn Tearney,Jordi Munoz Abreu,Davis Cup WG1 PO: VEN vs NZL
0,0,0,,0,0,0,,Jordi Munoz Abreu,Finn Tearney,Jordi Munoz Abreu,Davis Cup WG1 PO: VEN vs NZL
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Dimitar Kuzmanov,Dimitar Kuzmanov,Julian Saborio,Davis Cup WG2 PO: CRC vs BUL
0,0,0,,0,0,0,,Julian Saborio,Dimitar Kuzmanov,Julian Saborio,Davis Cup WG2 PO: CRC vs BUL
0,0,0,,0,0,0,,Mikael Torpegaard,Mikael Torpegaard,Quinton Vega,Davis Cup WG2 PO: DEN vs PUR
0,0,0,,0,0,0,,Quinton Vega,Mikael Torpegaard,Quinton Vega,Davis Cup WG2 PO: DEN vs PUR
0,0,0,,0,0,0,,Blaise Bicknell,Blaise Bicknell,Alberto Emmanuel Alvarado Larin,Davis Cup WG2 PO: ESA vs JAM
0,0,0,,0,0,0,,Alberto Emmanuel Alvarado Larin,Blaise Bicknell,Alberto Emmanuel Alvarado Larin,Davis Cup WG2 PO: ESA vs JAM
3,5,8,37.5,3,5,8,37.5,Nikoloz Basilashvili,Nikoloz Basilashvili,Vladimir Ivanov,Davis Cup WG2 PO: GEO vs EST
0,0,0,,0,0,0,,Vladimir Ivanov,Nikoloz Basilashvili,Vladimir Ivanov,Davis Cup WG2 PO: GEO vs EST
0,0,0,,0,0,0,,Wilfredo Gonzalez,Wilfredo Gonzalez,Aziz Dougaz,Davis Cup WG2 PO: GUA vs TUN
0,0,0,,0,0,0,,Aziz Dougaz,Wilfredo Gonzalez,Aziz Dougaz,Davis Cup WG2 PO: GUA vs TUN
0,0,0,,0,0,0,,Christopher Rungkat,Christopher Rungkat,Sheil Kotecha,Davis Cup WG2 PO: INA vs KEN
0,0,0,,0,0,0,,Sheil Kotecha,Christopher Rungkat,Sheil Kotecha,Davis Cup WG2 PO: INA vs KEN
